firstName,lastName,email,phone,title,companyName,department,seniority,linkedinUrl
Jessica,Murphy,jessica.murphy@boldstrategiclabs.com,+1-215-681-7171,"Strategy Director","Bold Strategic Labs",STRATEGY_PLANNING,MANAGER,https://linkedin.com/in/jessica-murphy-1867
Joseph,Jones,joseph.jones@boldstrategiclabs.com,+1-352-292-6928,"Digital Marketing Director","Bold Strategic Labs",DIGITAL_MARKETING,COORDINATOR,https://linkedin.com/in/joseph-jones-3581
Kenneth,Evans,kenneth.evans@trueperformancecommunications.com,+1-233-533-8254,"Media Planning Director","True Performance Communications",MEDIA_PLANNING,DIRECTOR,https://linkedin.com/in/kenneth-evans-2088
Ashley,Perez,ashley.perez@trueperformancecommunications.com,+1-561-868-2850,"Senior Creative Director","True Performance Communications",CREATIVE_SERVICES,DIRECTOR,https://linkedin.com/in/ashley-perez-7792
Jessica,Taylor,jessica.taylor@trueperformancecommunications.com,+1-909-846-9140,"COO","True Performance Communications",LEADERSHIP,ASSOCIATE,https://linkedin.com/in/jessica-taylor-2521
Amanda,Smith,amanda.smith@brightbrandstrategies.com,+1-707-300-6677,"Programmatic Director","Bright Brand Strategies",PROGRAMMATIC,ASSOCIATE,https://linkedin.com/in/amanda-smith-7766
Melissa,Roberts,melissa.roberts@brightbrandstrategies.com,+1-621-721-2435,"VP of Strategy","Bright Brand Strategies",STRATEGY_PLANNING,ASSOCIATE,https://linkedin.com/in/melissa-roberts-8391
Emily,Young,emily.young@blueprogrammaticpartners.com,+1-780-247-7009,"Senior Creative Director","Blue Programmatic Partners",CREATIVE_SERVICES,ASSOCIATE,https://linkedin.com/in/emily-young-8947
Gary,Harris,gary.harris@blueprogrammaticpartners.com,+1-381-363-7514,"VP of Programmatic","Blue Programmatic Partners",PROGRAMMATIC,VP,https://linkedin.com/in/gary-harris-8345
Deborah,Johnson,deborah.johnson@brightsocialinteractive.com,+1-488-598-8181,"Strategy Director","Bright Social Interactive",STRATEGY_PLANNING,MANAGER,https://linkedin.com/in/deborah-johnson-7472
Margaret,Jones,margaret.jones@brightsocialinteractive.com,+1-670-532-3482,"Senior Account Manager","Bright Social Interactive",ACCOUNT_MANAGEMENT,VP,https://linkedin.com/in/margaret-jones-7813
Ryan,Harris,ryan.harris@brightsocialinteractive.com,+1-907-564-2921,"Business Development Manager","Bright Social Interactive",BUSINESS_DEVELOPMENT,COORDINATOR,https://linkedin.com/in/ryan-harris-4241
Timothy,Edwards,timothy.edwards@bluebrandventures.com,+1-709-570-6095,"Media Planner","Blue Brand Ventures",MEDIA_PLANNING,DIRECTOR,https://linkedin.com/in/timothy-edwards-6073
Jessica,Morris,jessica.morris@bluebrandventures.com,+1-210-732-3346,"VP of Accounts","Blue Brand Ventures",ACCOUNT_MANAGEMENT,ASSOCIATE,https://linkedin.com/in/jessica-morris-5076
Barbara,Miller,barbara.miller@bluebrandventures.com,+1-424-408-3083,"Partner","Blue Brand Ventures",LEADERSHIP,ASSOCIATE,https://linkedin.com/in/barbara-miller-9405
Betty,Cruz,betty.cruz@bluebrandventures.com,+1-800-850-1291,"Copywriter","Blue Brand Ventures",CREATIVE_SERVICES,EXECUTIVE,https://linkedin.com/in/betty-cruz-3674
Kathleen,Hernandez,kathleen.hernandez@yellowsearchsolutions.com,+1-948-322-5524,"VP of Search","Yellow Search Solutions",SEARCH_MARKETING,ASSOCIATE,https://linkedin.com/in/kathleen-hernandez-7598
Cynthia,Gomez,cynthia.gomez@yellowsearchsolutions.com,+1-539-339-7604,"CEO","Yellow Search Solutions",LEADERSHIP,VP,https://linkedin.com/in/cynthia-gomez-6782
Jennifer,White,jennifer.white@deltacontentpartners.com,+1-259-473-8578,"Social Media Manager","Delta Content Partners",SOCIAL_MEDIA,COORDINATOR,https://linkedin.com/in/jennifer-white-8906
James,Lee,james.lee@deltacontentpartners.com,+1-374-401-8065,"Senior Creative Director","Delta Content Partners",CREATIVE_SERVICES,MANAGER,https://linkedin.com/in/james-lee-8875
Nancy,Wright,nancy.wright@deltacontentpartners.com,+1-812-600-2993,"Social Media Director","Delta Content Partners",SOCIAL_MEDIA,DIRECTOR,https://linkedin.com/in/nancy-wright-5570
Christopher,Lopez,christopher.lopez@nextperformancecommunications.com,+1-604-806-1854,"Business Development Manager","Next Performance Communications",BUSINESS_DEVELOPMENT,VP,https://linkedin.com/in/christopher-lopez-1594
Paul,Lopez,paul.lopez@nextperformancecommunications.com,+1-723-839-7612,"BD Director","Next Performance Communications",BUSINESS_DEVELOPMENT,DIRECTOR,https://linkedin.com/in/paul-lopez-8956
Mary,Moore,mary.moore@nextperformancecommunications.com,+1-337-299-5033,"Associate Media Planner","Next Performance Communications",MEDIA_PLANNING,VP,https://linkedin.com/in/mary-moore-7458
Carol,Martin,carol.martin@nextperformancecommunications.com,+1-484-924-1388,"President","Next Performance Communications",LEADERSHIP,DIRECTOR,https://linkedin.com/in/carol-martin-3588
Richard,Wright,richard.wright@peakbrandstrategies.com,+1-816-645-2542,"BD Director","Peak Brand Strategies",BUSINESS_DEVELOPMENT,VP,https://linkedin.com/in/richard-wright-3199
Eric,Adams,eric.adams@peakbrandstrategies.com,+1-269-627-1996,"Media Buying Director","Peak Brand Strategies",MEDIA_BUYING,ASSOCIATE,https://linkedin.com/in/eric-adams-8066
Ashley,Green,ashley.green@puredigitalstudios.com,+1-965-546-3197,"VP of Search","Pure Digital Studios",SEARCH_MARKETING,COORDINATOR,https://linkedin.com/in/ashley-green-5916
Margaret,Gonzalez,margaret.gonzalez@puredigitalstudios.com,+1-577-753-8449,"Social Media Director","Pure Digital Studios",SOCIAL_MEDIA,MANAGER,https://linkedin.com/in/margaret-gonzalez-5393
